pos	id	title	duration_s	words	sentences	wps	backchannel_per_1k	speakers	verdict	provenance
1256	pKVnYVU-TK0	Canon HF G30 Audio Test	154	415	0	415.0	0.0	solo	needs-whisper	whisper-large-v3
1257	cYCkvUqrFLU	Audio Test - Zoom H1 vs Canon HF G30	177	485	0	485.0	0.0	solo	needs-whisper	whisper-large-v3
1258	Bg_s25z3W1E	Dumpster Dive - Gigabyte Motherboard	327	781	5	156.2	0.0	solo	needs-whisper	whisper-large-v3
1259	0DtX3ir7UYQ	Chris Hadfield LIVE - Space Odditiy	217	248	0	248.0	0.0	solo	needs-whisper	whisper-large-v3
1260	lppoXnpNqz0	Retro Vintage: An Original Apple I Computer In A Briefcase	119	282	0	282.0	0.0	solo	needs-whisper	whisper-large-v3
1261	vZQdSBjdMZQ	Sydney Maker Faire 2014 - Introduction Talk	1525	4311	0	4311.0	0.0	solo	needs-whisper	whisper-large-v3
1262	VGwCZ8_EzqI	Maker Fair Sydney 2014 Talk - Growing Maker Communities	3094	9251	2	4625.5	0.0	solo	needs-whisper	whisper-large-v3
1263	vgHtVKgHfmE	Canon HF G30 vs Sony NEX VG30	576	1433	119	12.0	4.9	solo	good	youtube-asr
1264	rtQ2vTdYBn4	Another Dumpster Dive PC	446	1249	135	9.3	8.8	solo	good	youtube-asr
1265	Wf7t3MTH7s4	EEVblog2 #650 - Canon HF G30 Camcorder Review - FULL	2640	8013	5	1602.6	0.0	solo	needs-whisper	whisper-large-v3
1266	fr1FkUauc18	EEVblog LAB Network Cabling	355	1010	1	1010.0	0.0	solo	needs-whisper	whisper-large-v3
1267	9RFBuZn_SFQ	Canon HF G30 vs HF G10 Image Stabilisation Comparison	99	246	0	246.0	0.0	solo	needs-whisper	whisper-large-v3
1268	olnTE7ZrB_s	Back (Hair) Light Studio Video Test - Part 2	368	1119	0	1119.0	0.0	solo	needs-whisper	whisper-large-v3
1269	775hKErBeY0	Back (Hair) Light Studio Video Test - Part 3	118	367	0	367.0	0.0	solo	needs-whisper	whisper-large-v3
1270	QIuuZziV-wU	Back (Hair) Light Studio Video Test	235	706	0	706.0	0.0	solo	needs-whisper	whisper-large-v3
1271	n844W7IafCI	Back To The Future Lego Delorean Time Machine Build Time-lapse	97	6	0	6.0	0.0	solo	needs-whisper	whisper-large-v3
1272	EcNUdmHC3BA	Back To The Future Lego Delorean Time Machine Build Review	625	1544	0	1544.0	0.0	solo	needs-whisper	whisper-large-v3
1273	bYPNhWfPQFE	IgniteSydney12: Be a maker, not just a consumer - Raspberry Pi	332	904	0	904.0	0.0	solo	needs-whisper	whisper-large-v3
1274	0J3gp0Q7R-w	Another Dumpster Dive Laser Printer	384	939	0	939.0	0.0	solo	needs-whisper	whisper-large-v3
